counter	timestamp	deadtime	ch1_height	ch2_height	Delta_T
447	1719999676.4605255	0.008901892028525638	514	3176	-21
448	1719999676.5711079	0.006131639997491995	1325	2005	-18
449	1719999676.67666	0.018169034518933518	593	2293	-18
450	1719999676.7835436	0.0026397540157116345	280	2863	-22
451	1719999676.8887432	0.004364204024841348	2317	200	-24
452	1719999676.9947102	0.004644728851301199	633	2568	-22
453	1719999677.1002681	0.016988813169899284	1790	1773	-18
454	1719999677.2070334	0.004671523604082722	564	3173	-20
455	1719999677.3124254	0.016819886213816127	1148	2299	-22
456	1719999677.4231126	0.004537697543497166	2903	2954	-19
457	1719999677.5288954	0.002173750940565311	594	3152	-19
458	1719999677.6346865	0.002446794608940939	555	3166	-19
459	1719999677.7399578	0.0022449155268415783	377	616	-19
460	1719999677.8450682	0.004009980799188494	316	3077	-19
461	1719999677.9504128	0.0023644467013361503	1202	2841	-99
462	1719999678.0555134	0.003816845767718319	447	393	-15
463	1719999678.1608145	0.002369490933579428	404	565	-22
464	1719999678.2664783	0.002564952863069416	1260	508	-21
465	1719999678.3716693	0.0024481746364574007	2923	2770	-20
466	1719999678.4845295	0.0100225307833377	2260	1815	-19
467	1719999678.5908263	0.002255645902054742	627	3091	-19
468	1719999678.6959054	0.0022327101107278997	2311	569	-20
469	1719999678.800917	0.002263527242923923	3260	2221	-22
470	1719999678.9091518	0.0022774878912092053	1591	1856	-21
471	1719999679.018848	0.0035769477869806044	607	1742	-19
472	1719999679.1245382	0.0023583840099756933	513	3121	-21
473	1719999679.230019	0.002095857798196251	1947	1685	-20
474	1719999679.3363872	0.0022075154133880765	476	1146	-20
475	1719999679.4416175	0.002200058003588972	311	3318	-21
476	1719999679.552939	0.0021886196063482816	1228	2567	36
477	1719999679.6588228	0.002370831344506786	1027	2903	-70
478	1719999679.764064	0.002225026793219786	2155	246	-28
479	1719999679.8691952	0.002199865740152766	422	361	-19
480	1719999679.9743361	0.0023737567250772546	462	3075	-18
481	1719999680.0792873	0.005081616239422739	225	2602	-22
482	1719999680.1851504	0.0045672697776075345	1916	2039	-19
483	1719999680.291204	0.0027027879257454064	2091	626	-18
484	1719999680.3963835	0.0022112353434785566	941	618	-23
485	1719999680.5028884	0.002218337209640701	452	1976	-19
486	1719999680.6080031	0.0022092930942578795	2549	2966	-21
487	1719999680.7130547	0.002185611278934384	412	843	-19
488	1719999680.8180752	0.00225643959256964	578	2022	-19
489	1719999680.9246125	0.0023517302334948144	1408	354	-19
490	1719999681.0296724	0.00268383595704955	968	206	-40
491	1719999681.1347833	0.0022737380980475804	1564	2996	-19
492	1719999681.2398782	0.0026328679892236103	396	497	-15
